bnk_trn_ref|exec_dt|debit_account_no|credit_account_no|amount|trn_desc
U48044E47864|2007-09-21 00:00:00|CH0250222882407221959|CH4619565405631020224|138142.29|Payment of invoice(s) IdiTech
U47758S79943|2010-06-04 00:00:00|CH0228112131218563569|CH9791001388567356681|18912.29|Payment of invoice(s) Saint Time
B81535N57987|2015-01-09 00:00:00|CH0209049493360060612|CH9681610501955543047|67981.53|Payment of invoice(s) Bernard, Willa
N33524J13622|2013-10-04 00:00:00|CH0234139622897026693|CH8016460903045779129|55346.63|Payment of invoice(s) WriteTech
V60941S64038|2015-04-17 00:00:00|CH0240900251892652380|CH3660100928827682021|19384.72|Payment of invoice(s) Semantic Time
S62730R42823|2011-12-16 00:00:00|CH0240522825785605571|CH7662760544240052921|14510.38|Payment of invoice(s) Zytrex
U76355O55829|2013-01-25 00:00:00|CH0249176139269086161|CH8988352604215975853|88405.78|Payment of invoice(s) Time  Urban
A80438U79597|2012-08-24 00:00:00|CH0230382548836512713|CH8016460903045779129|28712.38|Payment of invoice(s) WriteTech
X99744C83602|2014-10-10 00:00:00|CH0211681954985788087|CH9797517066913638834|6361.80|Payment of invoice(s) OpenSource Time
F67904N60172|2012-03-09 00:00:00|CH0209049493360060612|CH3565565295426810320|3652.03|Payment of invoice(s) Progressive Time
X36983Y37331|2007-10-05 00:00:00|CH0249176139269086161|CH7230353885308784585|45895.56|Payment of invoice(s) Ortega, Ivy
C99666T90595|2015-10-09 00:00:00|CH0214151982011227631|CH3276374414353537218|3300.00|Payment of invoice(s) Time  Iron
M96844S97121|2014-05-23 00:00:00|CH0207993305365962502|CH7794913888074892430|103.11|Payment of invoice(s) Time  Utopia
S73539O23425|2006-03-10 00:00:00|CH0228112131218563569|CH1396683322404415097|24827.16|Payment of invoice(s) Cytrex
A77209V57873|2012-04-27 00:00:00|CH0234139622897026693|CH3061963907498411463|1927.28|Payment of invoice(s) Moving with the Times
H80544A59821|2014-02-21 00:00:00|CH0215694012443589673|CH5113429654953071542|4352.02|Payment of invoice(s) Technohabitat
J15203Q45124|2015-07-03 00:00:00|CH0211681954985788087|CH3276374414353537218|13837.07|Payment of invoice(s) Time  Iron
V92328X63013|2006-03-10 00:00:00|CH0228112131218563569|CH1396683322404415097|1250.44|Payment of invoice(s) Cytrex
K40048U26361|2013-01-18 00:00:00|CH0200974687337280877|CH9027477895350295117|13801.85|Payment of invoice(s) Cornerstone Time
Q59262D24210|2014-05-23 00:00:00|CH0231003557422817970|CH7794913888074892430|16906.14|Payment of invoice(s) Time  Utopia
U49189R66387|2011-02-04 00:00:00|CH0234139622897026693|CH6040350716936780372|14466.02|Payment of invoice(s) Technoracks
C38578H25087|2013-02-01 00:00:00|CH0224806721788063113|CH8616261051059395320|52735.59|Payment of invoice(s) Prospect Time
E34824V98747|2013-05-24 00:00:00|CH0228112131218563569|CH5088079216680893260|542.35|Payment of invoice(s) Sapphire Time
E13104M83343|2011-02-18 00:00:00|CH0227578004931115071|CH2527167101216711292|4152.94|Payment of invoice(s) Exotechno
Z56946S18070|2011-05-20 00:00:00|CH0228112131218563569|CH9387343052322901266|5998.76|Payment of invoice(s) Displaytech
H50535S53002|2005-12-30 00:00:00|CH0206550793273688901|CH4154911007648432776|20633.58|Payment of invoice(s) Tuliptime Tunefest
E29617N84891|2014-01-24 00:00:00|CH0246225152084380466|CH8515468004216856140|29265.52|Payment of invoice(s) SecondTime
I12357C92004|2016-03-18 00:00:00|CH0209049493360060612|CH3276374414353537218|3250.73|Payment of invoice(s) Time  Iron
F29186P82242|2013-05-17 00:00:00|CH0250407194135228410|CH7557621605158040369|2787.95|Payment of invoice(s) Harper, Clementine
L34137G81599|2014-01-31 00:00:00|CH0250222882407221959|CH8515468004216856140|22718.78|Payment of invoice(s) SecondTime
N78970O77365|2014-06-27 00:00:00|CH0214401606376708007|CH6525051052542047010|16347.80|Payment of invoice(s) Suburban Time
W69222H69003|2011-08-19 00:00:00|CH0206550793273688901|CH9298162976623746233|42199.63|Payment of invoice(s) Midnight Time
H79010J95012|2015-07-31 00:00:00|CH0225122731249592892|CH9797517066913638834|20735.79|Payment of invoice(s) OpenSource Time
L43381M25344|2004-12-24 00:00:00|CH0250407194135228410|CH6353846276666583183|34874.09|Payment of invoice(s) Goodman, Colorado
D40041W44453|2011-07-29 00:00:00|CH0209336657619956939|CH2527167101216711292|39586.16|Payment of invoice(s) Exotechno
M44140M46929|2015-04-10 00:00:00|CH0224806721788063113|CH3660100928827682021|130698.32|Payment of invoice(s) Semantic Time
R17479Q11960|2016-05-13 00:00:00|CH0228315136202810440|CH9681610501955543047|7209.21|Payment of invoice(s) Bernard, Willa
Y40076T14587|2011-09-30 00:00:00|CH0250222882407221959|CH5331058502318833724|15458.25|Payment of invoice(s) Farrell, Samantha
H81542L59334|2016-12-16 00:00:00|CH0249176139269086161|CH5039837041721813617|15101.64|Payment of invoice(s) Valent Technologies
H93780L77691|2015-05-29 00:00:00|CH0231003557422817970|CH9204116784019962130|36233.27|Payment of invoice(s) OneStop Time
Z73865Q50806|2011-05-20 00:00:00|CH0201609149519657198|CH9387343052322901266|1920.37|Payment of invoice(s) Displaytech
S20586K78110|2011-10-21 00:00:00|CH0240900251892652380|CH4858680069098133364|9938.61|Payment of invoice(s) Time  North
E37438B26323|2016-02-26 00:00:00|CH0249176139269086161|CH9460991585208143427|3993.97|Payment of invoice(s) Zentime
X96317L40769|2015-07-17 00:00:00|CH0201609149519657198|CH1006820597721560021|24249.09|Payment of invoice(s) Time  Cupid
J39368T53763|2012-09-07 00:00:00|CH0250407194135228410|CH0975382478571743488|10457.32|Payment of invoice(s) Catalyst Time
C46824S90716|2011-04-29 00:00:00|CH0223943235385824696|CH3565565295426810320|20202.92|Payment of invoice(s) Progressive Time
Z31183I31475|2014-03-21 00:00:00|CH0215694012443589673|CH5113429654953071542|54014.65|Payment of invoice(s) Technohabitat
F41394R51206|2011-12-09 00:00:00|CH0214151982011227631|CH5306138861270198557|8342.37|Payment of invoice(s) Tucker, Steel
F61207J47135|2010-12-17 00:00:00|CH0236918036799637910|CH8729499478213548344|2497.52|Payment of invoice(s) CranialTech
X66655M97805|2012-12-14 00:00:00|CH0227578004931115071|CH3146115032200851604|15887.72|Payment of invoice(s) Impulse Time
C94051M98745|2013-03-22 00:00:00|CH0249176139269086161|CH2776009455955283091|13925.66|Payment of invoice(s) Aeora
A16489I50073|2011-07-01 00:00:00|CH0248281695366099688|CH8822873783116711340|67770.90|Payment of invoice(s) Cascade Time
C75475J12557|2012-05-04 00:00:00|CH0209336657619956939|CH3061963907498411463|5900.81|Payment of invoice(s) Moving with the Times
E14793U62587|2015-11-27 00:00:00|CH0209336657619956939|CH7010391221892072726|30973.51|Payment of invoice(s) Time  Avatar
P90957I93602|2011-11-18 00:00:00|CH0240900251892652380|CH6389002244580245381|544.24|Payment of invoice(s) Sin Thesis
P43115E60581|2014-01-31 00:00:00|CH0234139622897026693|CH1443469204088447401|10194.49|Payment of invoice(s) Neighborhood Time
K35077W48270|2013-04-05 00:00:00|CH0251073611707606644|CH2776009455955283091|5434.93|Payment of invoice(s) Aeora
O72037V96409|2014-10-10 00:00:00|CH0207993305365962502|CH1358263686244215866|8560.64|Payment of invoice(s) Genmex
R81341C36744|2011-07-22 00:00:00|CH0206003498982695304|CH3792097181326358410|8995.28|Payment of invoice(s) Triad Time
R82962C91639|2013-02-01 00:00:00|CH0215694012443589673|CH5016167931570684520|7603.96|Payment of invoice(s) Lighthouse Time
U22117R65629|2010-12-31 00:00:00|CH0200974687337280877|CH9791001388567356681|23987.45|Payment of invoice(s) Saint Time
Z24977J86526|2014-01-24 00:00:00|CH0200974687337280877|CH8515468004216856140|36774.98|Payment of invoice(s) SecondTime
R42095N52926|2011-04-15 00:00:00|CH0249176139269086161|CH8619980845374894676|8571.92|Payment of invoice(s) Tucker, Amos
K73449P14113|2006-01-06 00:00:00|CH0206550793273688901|CH4154911007648432776|30189.45|Payment of invoice(s) Tuliptime Tunefest
T79735P26524|2008-11-28 00:00:00|CH0250222882407221959|CH4859972362682465663|9507.97|Payment of invoice(s) Time  Council
Y18947N74242|2010-03-19 00:00:00|CH0250222882407221959|CH3786008636498512184|8538.44|Payment of invoice(s) Spacewax
J37252P53340|2014-09-05 00:00:00|CH0236918036799637910|CH6525051052542047010|4688.62|Payment of invoice(s) Suburban Time
K51562G81235|2015-01-09 00:00:00|CH0225122731249592892|CH1006820597721560021|24718.68|Payment of invoice(s) Time  Cupid
J40751B53677|2011-12-02 00:00:00|CH0214151982011227631|CH9406142899865775066|29796.29|Payment of invoice(s) ColorOptic
B74826G58571|2015-04-24 00:00:00|CH0201609149519657198|CH4702748652329494055|17197.56|Payment of invoice(s) Contreras, Myles
Y56018D14983|2016-10-14 00:00:00|CH0204884126669364759|CH9204116784019962130|73065.20|Payment of invoice(s) OneStop Time
N22922O52632|2011-12-09 00:00:00|CH0246225152084380466|CH5306138861270198557|3832.27|Payment of invoice(s) Tucker, Steel
T80870C48307|2013-04-26 00:00:00|CH0246225152084380466|CH6067246472234989020|2097.76|Payment of invoice(s) Nikuda
B97757W23989|2013-05-17 00:00:00|CH0227578004931115071|CH5088079216680893260|69062.37|Payment of invoice(s) Sapphire Time
W11113A12960|2014-01-24 00:00:00|CH0218229960514553128|CH3944952886896151839|43070.06|Payment of invoice(s) enCycle
L27099P84974|2011-12-09 00:00:00|CH0228315136202810440|CH5306138861270198557|6085.48|Payment of invoice(s) Tucker, Steel
J26972K43998|2016-02-12 00:00:00|CH0250407194135228410|CH9797517066913638834|63394.45|Payment of invoice(s) OpenSource Time
T18643T93790|2013-05-17 00:00:00|CH0250222882407221959|CH9158352429367567345|3426.38|Payment of invoice(s) Tarantella Time!
K27706J36219|2007-12-21 00:00:00|CH0218229960514553128|CH9397391863044082075|26206.86|Payment of invoice(s) Comet Time
U93768N84618|2008-08-08 00:00:00|CH0209049493360060612|CH4297398669858140496|1393.50|Payment of invoice(s) Antechnology
R42923D29041|2011-09-23 00:00:00|CH0215694012443589673|CH7455625517759336763|30294.77|Payment of invoice(s) Holland, Ray
V14216U62448|2014-10-03 00:00:00|CH0230382548836512713|CH9657399602049395479|38506.48|Payment of invoice(s) Candid Time
N16164N12977|2015-12-04 00:00:00|CH0234139622897026693|CH7010391221892072726|6250.94|Payment of invoice(s) Time  Avatar
F30531E50945|2010-06-25 00:00:00|CH0211681954985788087|CH2942996515512723075|38705.61|Payment of invoice(s) Wells, Julie
V10357N95851|2012-06-22 00:00:00|CH0231003557422817970|CH5966588287840537342|9820.32|Payment of invoice(s) Ultrimax
N55723K63203|2014-01-24 00:00:00|CH0211681954985788087|CH8515468004216856140|26342.98|Payment of invoice(s) SecondTime
Y89020T66172|2014-05-16 00:00:00|CH0227578004931115071|CH7794913888074892430|57521.40|Payment of invoice(s) Time  Utopia
U34807L50398|2014-12-12 00:00:00|CH0209336657619956939|CH5039837041721813617|21224.89|Payment of invoice(s) Valent Technologies
Y40130P17135|2014-10-03 00:00:00|CH0234143718846267688|CH9657399602049395479|13380.50|Payment of invoice(s) Candid Time
E37576C89097|2011-02-04 00:00:00|CH0234515455801405036|CH6040350716936780372|57576.08|Payment of invoice(s) Technoracks
W20783T68591|2014-11-07 00:00:00|CH0228315136202810440|CH4385645604347036714|24467.75|Payment of invoice(s) Just Time
O98816H19583|2012-03-23 00:00:00|CH0207993305365962502|CH4296421323470854890|8691.49|Payment of invoice(s) Time  Hands
M37569N60433|2008-08-29 00:00:00|CH0215694012443589673|CH7593862183954112384|4438.26|Payment of invoice(s) Ancestor Dreamtime
J58668L93435|2016-04-01 00:00:00|CH0223943235385824696|CH9460991585208143427|2801.27|Payment of invoice(s) Zentime
T31852G70995|2015-07-03 00:00:00|CH0209336657619956939|CH1006820597721560021|3951.25|Payment of invoice(s) Time  Cupid
R21151P39686|2011-12-09 00:00:00|CH0219850911967777927|CH5306138861270198557|7339.39|Payment of invoice(s) Tucker, Steel
E22544W36587|2013-05-24 00:00:00|CH0218229960514553128|CH5088079216680893260|17756.18|Payment of invoice(s) Sapphire Time
D48184Z14776|2011-12-09 00:00:00|CH0237130733821422792|CH7662760544240052921|40648.93|Payment of invoice(s) Zytrex
Z87295D90157|2014-01-24 00:00:00|CH0200974687337280877|CH8515468004216856140|20430.50|Payment of invoice(s) SecondTime
Z64559K48320|2011-07-01 00:00:00|CH0224806721788063113|CH5088638921249011890|18980.98|Payment of invoice(s) FreeTime
K58813R40267|2015-12-18 00:00:00|CH0231003557422817970|CH9204116784019962130|5272.57|Payment of invoice(s) OneStop Time
T81171R35798|2014-02-28 00:00:00|CH0248281695366099688|CH9053624541702450052|6285.57|Payment of invoice(s) Eleventh Hour Events Planning
S24187N89439|2010-01-08 00:00:00|CH0209336657619956939|CH9791001388567356681|8263.60|Payment of invoice(s) Saint Time
R86754M14753|2013-02-01 00:00:00|CH0223943235385824696|CH8616261051059395320|8698.80|Payment of invoice(s) Prospect Time
T78790W14461|2014-05-23 00:00:00|CH0214401606376708007|CH7794913888074892430|6198.95|Payment of invoice(s) Time  Utopia
S47337B51528|2011-07-22 00:00:00|CH0240522825785605571|CH3792097181326358410|1651.48|Payment of invoice(s) Triad Time
S91335H18306|2009-04-17 00:00:00|CH0214401606376708007|CH3068272525733417130|42047.71|Payment of invoice(s) Realtime Time
V56447C88985|2011-11-18 00:00:00|CH0204884126669364759|CH1212759137980150044|18234.47|Payment of invoice(s) Plasma Time
B30985N67468|2014-01-10 00:00:00|CH0206550793273688901|CH1443469204088447401|495.38|Payment of invoice(s) Neighborhood Time
M56964R37072|2011-05-27 00:00:00|CH0249176139269086161|CH9387343052322901266|62081.62|Payment of invoice(s) Displaytech
I38366L21674|2011-01-21 00:00:00|CH0248281695366099688|CH0975382478571743488|15366.97|Payment of invoice(s) Catalyst Time
V29324M66976|2013-03-01 00:00:00|CH0246225152084380466|CH0619016605702832070|48366.64|Payment of invoice(s) Pattern Time
L14743H67793|2016-05-20 00:00:00|CH0250222882407221959|CH9681610501955543047|1122.89|Payment of invoice(s) Bernard, Willa
J18306L93194|2011-11-18 00:00:00|CH0251073611707606644|CH6389002244580245381|11762.92|Payment of invoice(s) Sin Thesis
Y44701Y79343|2011-03-25 00:00:00|CH0240900251892652380|CH3514647971914614633|6914.36|Payment of invoice(s) Design of the Times
T37620A21578|2016-09-30 00:00:00|CH0225122731249592892|CH9436656786623704266|10708.84|Payment of invoice(s) Sign of the Times Advertising Agency
Q16068R81421|2014-01-24 00:00:00|CH0240900251892652380|CH8515468004216856140|22937.92|Payment of invoice(s) SecondTime
X83311F68446|2013-08-09 00:00:00|CH0251073611707606644|CH7557621605158040369|11987.67|Payment of invoice(s) Harper, Clementine
O92766P12866|2011-02-04 00:00:00|CH0201609149519657198|CH6040350716936780372|17397.14|Payment of invoice(s) Technoracks
O26802R59359|2014-01-31 00:00:00|CH0224806721788063113|CH8515468004216856140|8471.24|Payment of invoice(s) SecondTime
O48423D14315|2015-12-04 00:00:00|CH0204884126669364759|CH7010391221892072726|39477.08|Payment of invoice(s) Time  Avatar
T91049C11211|2007-12-07 00:00:00|CH0209049493360060612|CH7227334560974386858|50951.42|Payment of invoice(s) Turnkey Time
O64773U51255|2015-08-21 00:00:00|CH0240900251892652380|CH9204116784019962130|61970.42|Payment of invoice(s) OneStop Time
X22482H76531|2010-06-25 00:00:00|CH0224806721788063113|CH2942996515512723075|31779.15|Payment of invoice(s) Wells, Julie
N69712X26519|2013-05-17 00:00:00|CH0237130733821422792|CH4574413380911406657|15117.97|Payment of invoice(s) Time  Alternative
K43870W57765|2013-03-08 00:00:00|CH0251073611707606644|CH0619016605702832070|34200.00|Payment of invoice(s) Pattern Time
L56443X40815|2011-07-29 00:00:00|CH0240900251892652380|CH5088638921249011890|37787.31|Payment of invoice(s) FreeTime
S69806K63669|2015-03-06 00:00:00|CH0227578004931115071|CH1006820597721560021|31593.94|Payment of invoice(s) Time  Cupid
L50811B51994|2011-04-15 00:00:00|CH0200974687337280877|CH8619980845374894676|10653.83|Payment of invoice(s) Tucker, Amos
B60914P55511|2011-10-21 00:00:00|CH0223943235385824696|CH4858680069098133364|22214.34|Payment of invoice(s) Time  North
W61851U53365|2006-11-24 00:00:00|CH0207993305365962502|CH2796095850520737441|29911.62|Payment of invoice(s) Time  Homepage
P77026B18886|2016-04-08 00:00:00|CH0206003498982695304|CH9436656786623704266|2480.57|Payment of invoice(s) Sign of the Times Advertising Agency
V81445F19377|2011-03-25 00:00:00|CH0240522825785605571|CH3514647971914614633|466.61|Payment of invoice(s) Design of the Times
H55562E77973|2014-10-03 00:00:00|CH0218229960514553128|CH9318634853603420440|10697.84|Payment of invoice(s) Mustang Time
U89554A68175|2010-12-24 00:00:00|CH0215694012443589673|CH8729499478213548344|12662.22|Payment of invoice(s) CranialTech
H10794Q28339|2008-08-15 00:00:00|CH0228315136202810440|CH8871083503612224843|31028.08|Payment of invoice(s) Nationwide Time
J62040W36148|2014-10-03 00:00:00|CH0237130733821422792|CH9657399602049395479|16484.09|Payment of invoice(s) Candid Time
Q31016P64401|2014-09-05 00:00:00|CH0207993305365962502|CH9797517066913638834|16207.44|Payment of invoice(s) OpenSource Time
K22469K53656|2015-12-18 00:00:00|CH0234515455801405036|CH5039837041721813617|44974.04|Payment of invoice(s) Valent Technologies
Z22428X72650|2011-12-09 00:00:00|CH0206003498982695304|CH9406142899865775066|13496.09|Payment of invoice(s) ColorOptic
S60896P92406|2015-04-10 00:00:00|CH0224806721788063113|CH3660100928827682021|1416.09|Payment of invoice(s) Semantic Time
U47255G74159|2015-12-11 00:00:00|CH0227578004931115071|CH2825850289822331123|14068.23|Payment of invoice(s) Strickland, Leroy
U20160R83142|2010-08-20 00:00:00|CH0250222882407221959|CH3786008636498512184|4029.18|Payment of invoice(s) Spacewax
S50703P53722|2009-03-13 00:00:00|CH0225122731249592892|CH2916831165020066166|40199.92|Payment of invoice(s) Kongle
Y88818H34727|2014-03-21 00:00:00|CH0234139622897026693|CH8988352604215975853|2792.33|Payment of invoice(s) Time  Urban
B82222X30810|2015-01-23 00:00:00|CH0201609149519657198|CH2877506220346092976|226.18|Payment of invoice(s) Popcorn Born
T26605V66218|2013-09-27 00:00:00|CH0223943235385824696|CH4385645604347036714|10339.81|Payment of invoice(s) Just Time
L91609E42485|2013-03-22 00:00:00|CH0200974687337280877|CH7557621605158040369|37298.08|Payment of invoice(s) Harper, Clementine
N67487R39965|2011-12-09 00:00:00|CH0234515455801405036|CH5306138861270198557|16412.56|Payment of invoice(s) Tucker, Steel
F21977T36819|2013-04-05 00:00:00|CH0230382548836512713|CH7557621605158040369|21422.77|Payment of invoice(s) Harper, Clementine
U19190T65678|2013-01-25 00:00:00|CH0218229960514553128|CH8988352604215975853|35717.88|Payment of invoice(s) Time  Urban
P95388M80527|2015-10-02 00:00:00|CH0210540037202341452|CH1006820597721560021|6778.37|Payment of invoice(s) Time  Cupid
Y13913E97525|2012-01-13 00:00:00|CH0214894598926922337|CH1443469204088447401|37153.29|Payment of invoice(s) Neighborhood Time
N77545E32675|2015-03-20 00:00:00|CH0231003557422817970|CH6525051052542047010|18684.52|Payment of invoice(s) Suburban Time
X76046Z25928|2016-04-01 00:00:00|CH0237130733821422792|CH9460991585208143427|16343.67|Payment of invoice(s) Zentime
R45912K13940|2010-04-23 00:00:00|CH0240522825785605571|CH8822873783116711340|6903.47|Payment of invoice(s) Cascade Time
Y40659O37356|2010-02-05 00:00:00|CH0240522825785605571|CH3667715363523316758|30905.08|Payment of invoice(s) Real Time Medical
F48376G36998|2014-01-24 00:00:00|CH0214401606376708007|CH8515468004216856140|43651.81|Payment of invoice(s) SecondTime
W38864Y89854|2012-11-02 00:00:00|CH0223943235385824696|CH1813436760999770384|9172.27|Payment of invoice(s) Technology Wizard
N31748A79850|2008-07-25 00:00:00|CH0204884126669364759|CH6155222698252816217|24321.01|Payment of invoice(s) Hourglass Etching
L46845S11652|2013-01-18 00:00:00|CH0219850911967777927|CH9027477895350295117|70218.93|Payment of invoice(s) Cornerstone Time
B68323C26206|2011-12-09 00:00:00|CH0240900251892652380|CH7662760544240052921|9127.67|Payment of invoice(s) Zytrex
Q90750L23956|2011-08-26 00:00:00|CH0228315136202810440|CH9158352429367567345|11406.10|Payment of invoice(s) Tarantella Time!
L44442W13502|2013-04-05 00:00:00|CH0209049493360060612|CH2776009455955283091|1932.53|Payment of invoice(s) Aeora
B76250P97657|2013-02-15 00:00:00|CH0209049493360060612|CH8616261051059395320|34970.49|Payment of invoice(s) Prospect Time
M49123N34117|2015-03-06 00:00:00|CH0249176139269086161|CH4385645604347036714|41825.95|Payment of invoice(s) Just Time
D56711B95329|2015-03-27 00:00:00|CH0214894598926922337|CH9053624541702450052|3923.94|Payment of invoice(s) Eleventh Hour Events Planning
M66043D40394|2015-10-09 00:00:00|CH0231003557422817970|CH9797517066913638834|17006.03|Payment of invoice(s) OpenSource Time
L13441X24572|2012-03-16 00:00:00|CH0234139622897026693|CH7319445800904089133|1583.91|Payment of invoice(s) Vibrant Time
D76928C33223|2011-12-16 00:00:00|CH0201609149519657198|CH7662760544240052921|5304.42|Payment of invoice(s) Zytrex
R39708P81025|2016-07-15 00:00:00|CH0224806721788063113|CH9681610501955543047|774.76|Payment of invoice(s) Bernard, Willa
L38940M88256|2011-07-22 00:00:00|CH0210540037202341452|CH3792097181326358410|29320.31|Payment of invoice(s) Triad Time
U95566I51010|2016-05-27 00:00:00|CH0231003557422817970|CH5039837041721813617|3244.66|Payment of invoice(s) Valent Technologies
K64786Q43976|2013-03-01 00:00:00|CH0207993305365962502|CH0619016605702832070|1127.48|Payment of invoice(s) Pattern Time
D97092N81113|2008-03-28 00:00:00|CH0250407194135228410|CH9449043298339965395|958.36|Payment of invoice(s) Sigh Co.
L70953E55967|2015-04-10 00:00:00|CH0240900251892652380|CH3660100928827682021|8666.55|Payment of invoice(s) Semantic Time
S21567C30325|2012-11-09 00:00:00|CH0224806721788063113|CH1813436760999770384|3990.91|Payment of invoice(s) Technology Wizard
T17921C73646|2013-03-08 00:00:00|CH0225122731249592892|CH0619016605702832070|395.54|Payment of invoice(s) Pattern Time
T46639Z73026|2008-09-05 00:00:00|CH0240900251892652380|CH9791001388567356681|14774.08|Payment of invoice(s) Saint Time
G94870U89717|2016-04-22 00:00:00|CH0230382548836512713|CH3276374414353537218|3585.78|Payment of invoice(s) Time  Iron
I89588D31115|2006-08-11 00:00:00|CH0251073611707606644|CH0972869735311306178|75807.71|Payment of invoice(s) Method Time
K39334N99223|2015-01-09 00:00:00|CH0230382548836512713|CH4385645604347036714|15187.36|Payment of invoice(s) Just Time
C55546B87445|2015-06-19 00:00:00|CH0225122731249592892|CH4385645604347036714|28463.42|Payment of invoice(s) Just Time
M62366C46694|2010-12-03 00:00:00|CH0214401606376708007|CH3667715363523316758|5076.63|Payment of invoice(s) Real Time Medical
T51195F31912|2010-12-17 00:00:00|CH0223943235385824696|CH8729499478213548344|8923.20|Payment of invoice(s) CranialTech
F61957J20853|2013-05-17 00:00:00|CH0214151982011227631|CH7557621605158040369|9156.34|Payment of invoice(s) Harper, Clementine
P28983E43973|2012-12-14 00:00:00|CH0206550793273688901|CH3146115032200851604|34677.05|Payment of invoice(s) Impulse Time
J81886Y26569|2013-05-24 00:00:00|CH0240900251892652380|CH9797517066913638834|27825.98|Payment of invoice(s) OpenSource Time
Q39770M51636|2011-06-10 00:00:00|CH0250407194135228410|CH0309890016342600758|2840.13|Payment of invoice(s) Time  Nano
Y93973Z44932|2008-12-05 00:00:00|CH0249176139269086161|CH4859972362682465663|17124.41|Payment of invoice(s) Time  Council
D71077L59857|2011-11-18 00:00:00|CH0209336657619956939|CH1212759137980150044|6822.21|Payment of invoice(s) Plasma Time
N45612Y89189|2011-07-08 00:00:00|CH0209049493360060612|CH2527167101216711292|6138.99|Payment of invoice(s) Exotechno
M34663P77518|2013-03-15 00:00:00|CH0201609149519657198|CH7557621605158040369|1968.83|Payment of invoice(s) Harper, Clementine
G22123L74444|2012-10-19 00:00:00|CH0210540037202341452|CH5113429654953071542|4521.03|Payment of invoice(s) Technohabitat
J68758X72579|2009-11-13 00:00:00|CH0234139622897026693|CH2916831165020066166|6727.91|Payment of invoice(s) Kongle
L46298N50454|2013-11-29 00:00:00|CH0206003498982695304|CH9053624541702450052|805.98|Payment of invoice(s) Eleventh Hour Events Planning
Q53838U25701|2012-11-16 00:00:00|CH0200974687337280877|CH1813436760999770384|14500.00|Payment of invoice(s) Technology Wizard
M48876F84473|2010-06-25 00:00:00|CH0251073611707606644|CH2942996515512723075|4561.21|Payment of invoice(s) Wells, Julie
D75936J55563|2013-05-17 00:00:00|CH0214401606376708007|CH5088079216680893260|42744.90|Payment of invoice(s) Sapphire Time
H70032N70307|2016-08-19 00:00:00|CH0218229960514553128|CH9436656786623704266|6800.00|Payment of invoice(s) Sign of the Times Advertising Agency
V24650V46714|2015-01-16 00:00:00|CH0206550793273688901|CH1358263686244215866|48916.24|Payment of invoice(s) Genmex
N49409O84040|2012-11-09 00:00:00|CH0234143718846267688|CH1813436760999770384|9197.89|Payment of invoice(s) Technology Wizard
C77505I58799|2015-04-17 00:00:00|CH0234139622897026693|CH1006820597721560021|12703.57|Payment of invoice(s) Time  Cupid
A95437X62196|2016-09-30 00:00:00|CH0214401606376708007|CH9436656786623704266|12409.95|Payment of invoice(s) Sign of the Times Advertising Agency
O86791X47289|2007-03-30 00:00:00|CH0209049493360060612|CH2796095850520737441|12206.15|Payment of invoice(s) Time  Homepage
I17387H76225|2016-03-11 00:00:00|CH0209336657619956939|CH6525051052542047010|58700.83|Payment of invoice(s) Suburban Time
H37561J17151|2005-12-30 00:00:00|CH0214401606376708007|CH4154911007648432776|14789.17|Payment of invoice(s) Tuliptime Tunefest
T67581M95638|2012-01-27 00:00:00|CH0200974687337280877|CH4827927844570438723|13811.35|Payment of invoice(s) Ebony Time
H62225L36375|2011-10-21 00:00:00|CH0214401606376708007|CH9298162976623746233|2745.71|Payment of invoice(s) Midnight Time
Q84291D20846|2014-01-17 00:00:00|CH0231003557422817970|CH8515468004216856140|58446.19|Payment of invoice(s) SecondTime
H56393F83042|2011-11-11 00:00:00|CH0240900251892652380|CH6389002244580245381|7445.59|Payment of invoice(s) Sin Thesis
R69879G79616|2016-04-01 00:00:00|CH0207993305365962502|CH9460991585208143427|3749.68|Payment of invoice(s) Zentime
S69462V41927|2010-04-16 00:00:00|CH0214151982011227631|CH7164967580455939097|15094.16|Payment of invoice(s) RedHot Time
D94865E15453|2010-03-19 00:00:00|CH0207993305365962502|CH2916831165020066166|22099.19|Payment of invoice(s) Kongle
X60352E71659|2011-11-18 00:00:00|CH0223943235385824696|CH6389002244580245381|18131.04|Payment of invoice(s) Sin Thesis
D60530S27700|2016-03-18 00:00:00|CH0201609149519657198|CH9460991585208143427|570.24|Payment of invoice(s) Zentime
E38084I80252|2013-04-05 00:00:00|CH0214401606376708007|CH2776009455955283091|26193.99|Payment of invoice(s) Aeora
G58620F75165|2016-07-15 00:00:00|CH0250222882407221959|CH9681610501955543047|11321.94|Payment of invoice(s) Bernard, Willa
P59868J34006|2008-12-05 00:00:00|CH0236918036799637910|CH4859972362682465663|34520.63|Payment of invoice(s) Time  Council
F98990N76972|2009-12-11 00:00:00|CH0240522825785605571|CH2916831165020066166|11156.13|Payment of invoice(s) Kongle
K35350R71271|2011-12-09 00:00:00|CH0206550793273688901|CH5306138861270198557|75231.72|Payment of invoice(s) Tucker, Steel
M72475H40013|2006-03-03 00:00:00|CH0207993305365962502|CH1396683322404415097|44600.04|Payment of invoice(s) Cytrex
E25080O91315|2015-12-04 00:00:00|CH0249176139269086161|CH7010391221892072726|75479.54|Payment of invoice(s) Time  Avatar
